SearchID,Speaker,LeftContext,Codes,RightContext,City
1,snatd1, trav/ parce0312 que,422," les enseignants qui etaient labas,",Senegal Dakar
2,snatd1,loir0412 trav/ parce,312," que0422 les enseignants qui etaient labas,",Senegal Dakar
3,snarg1,ARG1G: (clic) Non je,1112, ne0112 pense0412 pas hum.,Senegal Dakar
4,snaoc1,422 propre1422 poche,414,",",Senegal Dakar
5,snaoc1,SNAOC1G: pour,411," aller acheter des, des medicaments aux malades04",Senegal Dakar
6,snaoc1,132 notre1422 propre,1422," poche0414,",Senegal Dakar
7,snamc1,"s, re1232gardees de",1112," tras pras, ces branches0412 sont, sont bonne041",Senegal Dakar
8,snakg1, la carriare0412 se,1122, situait a euh Popenguine0413. Oui.,Senegal Dakar
9,snakg1,"la ca/, la carriare",412, se1122 situait a euh Popenguine0413.,Senegal Dakar
10,snain1,"4, s'il0412 vient me",1112, dire0412 que1122 j'ai fausse mes operations par,Senegal Dakar
11,snain1,"G: aa depend, s'il",414,", s'il0412 vient me1112 dire0412 que1122 j'ai faus",Senegal Dakar
12,snain1,"pend, s'il0414, s'il",412, vient me1112 dire0412 que1122 j'ai fausse mes op,Senegal Dakar
13,snain1,SNAIN1G: je,1132," lui dit, il0412 faut travailler.",Senegal Dakar
14,snain1,ations par0411 exemp,454,"le,",Senegal Dakar
15,snabn1,"esco, on de1212mande",412," surtout,",Senegal Dakar
16,snaas1,"le1132 maas0414, le",1132, manioc0413 .,Senegal Dakar
17,snaad1,ve l'ame0412 soeur,413,0,Senegal Dakar
18,snaad1,SNAAD1G: Le,1132," wolof0414, l'anglais, un peu, c'es",Senegal Dakar
19,snaac1,e1112 me0112 suis re,1212,"trouvee dans, dans, dans les Assise1414s,",Senegal Dakar
20,snaac1,"ans, dans les Assise",1414,"s,",Senegal Dakar
21,snaac1,AAC1G: parce0312 que,1422, c'est des moments de1112 plus en plus rare0412s o,Senegal Dakar
22,snakg1,it a euh Popenguine,413,. Oui.,Senegal Dakar
23,snakg1,xploite pendant dix,412," ans, ensuite0411 il y eu des probl",Senegal Dakar
24,snaac1,uand j'ai un minimum,412, de1122 temps,Senegal Dakar
25,snaac1,ai un minimum0412 de,1122, temps,Senegal Dakar
26,snaac1,": c'est, c'est aatre",421," avec1411 euh ma famille0411 euh, rigoler un peu,",Senegal Dakar
27,snaac1,c'est aatre0421 avec,1411," euh ma famille0411 euh, rigoler un peu,",Senegal Dakar
28,snaac1,c1411 euh ma famille,411," euh, rigoler un peu,",Senegal Dakar
29,snaac1,e1132 que1112 j'aime,412, faire0412 quand j'ai un minimum0412 de1122 temps,Senegal Dakar
