"Reference","Speaker","Codes","Discourse","Context","C1","C2_","_C3","S1","S2_","S3_"
49517,"75ccb2",422,"read","au Premier Ministre","t","R","?",0,1,"?"
49521,"75ccb2",1122,"read","en désespoir0412 decause0414, décidé à  d'écrire0411 au Premier M","R","d","k",1,0,0
49534,"75ccb2",1122,"read","que0412 maire0412 deBeaulieu ne1112 sait plus à  quel0412 saint se111","R","d","b",1,0,0
49539,"75ccb2",1122,"read","ans l'église0412 deSaint Martinville0413.","z","d","s",1,0,1
49544,"75ccb2",1422,"read","Quelques fanatique0411s auraient même0411 entamé","l","k","f",3,0,1
49551,"75ccb2",422,"read","ue1112 des activistes des commune0412s voisine0412s prépare0411nt une","s","t","d",1,0,0
49558,"75ccb2",1422,"read","OuestLiberté et Le1112 Nouvel0411 Observateur0413","s","t","l",1,0,3
49561,"75ccb2",422,"read","quelque1421s articles parus dans La Dépêche0412 du Centre0424, L'Exp","k","l","p",0,3,0
49572,"75ccb2",1422,"read","jaloux de0112 notreliberté.","t","R","l",0,1,3
49576,"75ccb2",1122,"read","ne0412 membre0422 del'opposition aurait déclaré : Dans le0112 coin","R","d","l",1,0,3
49578,"75ccb2",422,"read","Un jeune0412 membrede1122 l'opposition aurait déclaré : Dans le01","b","R","d",0,1,0
49581,"75ccb2",1422,"read","s d'identité risquent de1112 provoquer une0411 explosion.","s","k","d",1,0,0
49588,"75ccb2",1122,"read","est fait pour0412 leprotéger.","R","l","p",1,3,0
49590,"75ccb2",1122,"read","et s'assure0412 quetout est fait pour0412 le1122 protéger.","R","k","t",1,0,0
49597,"75ccb2",422,"read","du Premier Ministre, le1122 gouverne0322ment prend contac0411t avec04","t","R"," l",0,1,3
49598,"75ccb2",1122,"read","ier Ministre0422, legouverne0322ment prend contac0411t avec0412 la pr","R","l","g",1,3,0
49601,"75ccb2",1422,"read","D'un autrecôté, à  chaque0412 voyage0412 du Premier Minis","t","R","k",0,1,0
49602,"75ccb2",422,"read","bor0412ds manifestent leur0412 colère0413.","s","t","l",1,0,3
49620,"75ccb2",1122,"read","ne1122 cesse0412 debaisser de1212puis les élections.","s","d","b",1,0,0
49622,"75ccb2",1122,"read","mier Ministre0422 necesse0412 de1122 baisser de1212puis les élection","R","n","s",1,2,1
49623,"75ccb2",422,"read","du Premier Ministrene1122 cesse0412 de1122 baisser de1212puis les é","t","R","n",0,1,2
49637,"75ccm1",1122,"read","en désespoir0412 decause0412, décidé à  écrire0411 au Premier Min","R","d","k",1,0,0
49650,"75ccm1",1122,"read","que0412 maire0412 deBeaulieu ne1112 sait plus à  quel0412 saint se111","R","d","b",1,0,0
49655,"75ccm1",1122,"read","ans l'église0412 deSaint Martinville0413.","z","d","s",1,0,1
49660,"75ccm1",1422,"read","Quelques fanatique0411s auraient même0411 entamé un je","l","k","f",3,0,1
49667,"75ccm1",1422,"read","ue1112 les activistes des commune0412s voisine0412s prépare0411nt une","s","t","d",1,0,0
49673,"75ccm1",422,"read","L'Express0411, OuestLiberté et Le1112 Nouvel0411 Observateur0413","s","t","l",1,0,3
49678,"75ccm1",1422,"read","quelque1421s articles parus dans La Dépêche0412 du Centre0423,","k","l","p",0,3,0
49688,"75ccm1",1422,"read","jaloux de1112 notreliberté.","t","R","l",0,1,3
49692,"75ccm1",1122,"read","ne0412 membre0422 del'opposition aurait déclaré :","R","d","l",1,0,3
49693,"75ccm1",422,"read","Un jeune0412 membrede1122 l'opposition aurait déclaré :","b","R","d",0,1,0
49697,"75ccm1",1422,"read","s d'identité risquent de1112 provoquer une0411 explosion.","s","k","d",1,0,0
49704,"75ccm1",1122,"read","est fait pour0412 leprotéger.","R","l","p",1,3,0
49706,"75ccm1",1122,"read","et s'assure0412 quetout est fait pour0412 le1122 protéger.","R","k","t",1,0,0
49717,"75ccm1",1422,"read","D'un autrecôté, à  chaque0412 voyage0412 du Premier Minis","t","R","k",0,1,0
49745,"75ccr1",422,"read","au Premier Ministrepour0412 vérifier si son village0413","t","R","p",0,1,0
49747,"75ccr1",1122,"read","en désespoir0412 decause0413,","R","d","k",1,0,0
49762,"75ccr1",1122,"read","que0412 maire0412 deBeaulieu ne1112 sait plus à  quel0412 saint se111","R","d","b",1,0,0
49765,"75ccr1",1122,"read","ans l'église0412 deSaint Martinville0413.","z","d","s",1,0,1
49771,"75ccr1",1422,"read","Quelques fanatique0411s auraient même0411 entamé un je","l","k","f",3,0,1
49778,"75ccr1",422,"read","ue1112 des activistes des commune0412s voisine0413s","s","t","d",1,0,0
49784,"75ccr1",422,"read","L'Express0411, OuestLiberté et Le1112 Nouvel0411 Observateur0413","s","t","l",1,0,3
49786,"75ccr1",422,"read","pêche0412 du Centre, L'Express0411, Ouest0422 Liberté et Le1112 Nouv","t","R","l",0,1,3
49788,"75ccr1",1422,"read","quelque1421s articles parus dans La Dépêche0412 du Centre0422, L'Exp","k","l","p",0,3,0
49800,"75ccr1",1422,"read","jaloux de1112 notreliberté.","t","R","l",0,1,3
49802,"75ccr1",422,"read","Un jeune0412 membrede1122 l'opposition aurait déclaré :","b","R","d",0,1,0
49803,"75ccr1",1122,"read","ne0412 membre0422 del'opposition aurait déclaré :","R","d","l",1,0,3
49809,"75ccr1",1422,"read","s d'identité risquent de1112 provoquer une0411 explosion.","s","k","d",1,0,0
49815,"75ccr1",1122,"read","est fait pour0412 leprotéger.","R","l","p",1,3,0
49817,"75ccr1",1122,"read","et s'assure0412 quetout est fait pour0412 le1122 protéger.","R","k","t",1,0,0
49824,"75ccr1",1122,"read","ier Ministre0422, legouverne1322ment prend contact0421 avec0412 la pr","R","l","g",1,3,0
49826,"75ccr1",422,"read","du Premier Ministre, le1122 gouverne1322ment prend contact0421 avec04","t","R"," l",0,1,3
49828,"75ccr1",1422,"read","D'un autrecôté, à  chaque0412 voyage0412 du Premier Minis","t","R","k",0,1,0
49831,"75ccr1",1422,"read","bor0412ds manifestent leur0412 colère0413.","s","t","l",1,0,3
49849,"75ccr1",1122,"read","ne1122 cesse0412 debaisser de1212puis les élections.","s","d","b",1,0,0
49850,"75ccr1",422,"read","du Premier Ministrene1122 cesse0412 de1122 baisser de1212puis les é","t","R","n",0,1,2
49851,"75ccr1",1122,"read","mier Ministre0422 necesse0412 de1122 baisser de1212puis les élection","R","n","s",1,2,1
49854,"75ccr1",1422,"read","1122 Beaulieu - MarcBlanc - est en re1212vanche0412 très inquiet.","R","k","b",1,0,0
49856,"75ccr1",1122,"read","Le1132 maire0412 deBeaulieu - Marc1422 Blanc - est en re1212vanche04","R","d","b",1,0,0
50106,"75clb1",1122,"read","en désespoir0412 decause0412, décidé à  écrire0411 au Premier Min","R","d","k",1,0,0
50119,"75clb1",1122,"read","que0412 maire0412 deBeaulieu ne1112 sait plus à  quel0412 saint se111","R","d","b",1,0,0
50124,"75clb1",1122,"read","ans l'église0412 deSaint Martinville0413.","z","d","s",1,0,1
50130,"75clb1",1422,"read","Quelques fanatique0411s auraient même0411 entamé un je","l","k","f",3,0,1
50136,"75clb1",1422,"read","ue1112 des activistes des commune0412s voisine0414s","s","t","d",1,0,0
50142,"75clb1",1422,"read","L'Express0411, OuestLiberté","s","t","l",1,0,3
50144,"75clb1",422,"read","pêche0412 du Centre, L'Express0411, Ouest1422 Liberté","t","R"," l",0,1,3
50146,"75clb1",422,"read","quelque1421s articles parus dans La Dépêche0412 du Centre0422, L'Exp","k","l","p",0,3,0
50157,"75clb1",1422,"read","jaloux de1112 notreliberté.","t","R","l",0,1,3
50162,"75clb1",1422,"read","Un jeune0412 membrede1112 l'opposition aurait déclaré :","b","R","d",0,1,0
50166,"75clb1",1422,"read","s d'identité risquent de1112 provoquer une0411 explosion.","s","k","d",1,0,0
50172,"75clb1",1122,"read","est fait pour0412 leprotéger.","R","l","p",1,3,0
50175,"75clb1",1122,"read","et s'assure0412 quetout est fait pour0412 le1122 protéger.","R","k","t",1,0,0
50182,"75clb1",1122,"read","ier Minist0452re, legouverne1322ment prend contact0421 avec0412 la pr","R","l","g",1,3,0
50185,"75clb1",1422,"read","D'un autrecôté,","t","R","k",0,1,0
50189,"75clb1",1422,"read","bor0412ds manifestent leur0412 colère0413.","s","t","l",1,0,3
50455,"75csb1",1122,"read","en désespoir0412 decause0413,","R","d","k",1,0,0
